extension_id,name,source,insert_date_fmt
dihekmadkkcgnffajefocfamnpimlhah,"Zoom.us Always Show ""Join From Web""",https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
dekjibpkbhgbnmnfibnibnjoccaphfog,,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
dbfmnekepjoapopniengjbcpnbljalfg,Infinity New Tab,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
dakebdbeofhmlnmjlmhjdmmjmfohiicn,"Google Meet Tweak (Emojis, Text, Cam Effects)",https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
dacliiapfipnlipdmifioaijepgmhdga,Dream Afar New Tab,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cphibdhgbdoekmkkcbbaoogedpfibeme,GoToWebinar & GoToMeeting Download Recordings,Store Monitoring,2026-02-05
cpbbiepjnljbnngpepgeaojjeneacpld,WeTab bookmarks,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
codgofkgobbmgglciccjabipdlgefnch,Btools,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cmckpheolajgbmhlfhgelajhhfgjbhpk,WeTab Notes,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
ckdbfeccfocmhdclmmofmheljglmhhne,网盘资源全网搜索,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cjlabngphhjjdapemkdnpgkpebkpjbbe,答岸,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cicnbbdlbjaoioilpbdioeeaockgbhfi,Tabbs - Instant Search &amp; Tab Management,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cfmfokegjjljmdcdpnmlfajlddngkoah,潮汐 - 极简番茄钟与白噪音,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
cfgiodgnkinmacjkgjgdejeciohojglp,Webvideo FullScreen,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
ceofheakaalaecnecdkdanhejojkpeai,Meet auto admit,Store Monitoring,2026-02-05
cahdpfhnokmnnjhoaoliabdbcbbokmgc,Bing Rewards Assistant,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
bjehnpiidogpaocjjfhnopdjcahigggm,,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
bhoebgegnjoehioianjnjakeeggajanb,百度药丸 Baidu Capsule,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
bgkdocoihppjkdfaghndpjlfoehjcmka,Pkaaa New Tab,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
bajoeadpdidoahbhphmhejmbdmgnbdci,,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
apoklfecapckgpbbcpaiebemaghmkncf,minitab,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
